年月日时分	站点名称	气温	降水	瞬时风向	瞬时风速	瞬时能见度	相对湿度	瞬时气压	一小时最高气温	一小时最低气温	一小时最大风速	一小时最大风速时风向
201408160340	交大	24.1	0	102	1.5	////	////	////	24.1	24.1	2.6	122
201408160350	交大	24.1	0	122	0.8	////	////	////	24.1	24.1	2.6	122
201408160400	交大	24.1	0.1	150	1.5	////	////	////	24.1	24.1	2.6	122
201408160410	交大	24.1	0	80	0.6	////	////	////	24.1	24	1.4	91
201408160420	交大	24.1	0	111	1.2	////	////	////	24.1	24	1.6	80
201408160430	交大	24.1	0	119	0.3	////	////	////	24.1	24	1.6	80
201408160440	交大	24	0	85	1.1	////	////	////	24.1	24	1.7	102
201408160450	交大	24	0	63	1.3	////	////	////	24.1	24	1.8	77
201408160500	交大	24	0	83	1	////	////	////	24.1	24	1.8	77
201408160510	交大	23.9	0	71	0.8	////	////	////	24	23.9	1	63
201408160520	交大	23.9	0	74	0.6	////	////	////	24	23.9	1	63
201408160530	交大	23.9	0	116	0.9	////	////	////	24	23.9	1.6	66
201408160540	交大	23.9	0	102	1.1	////	////	////	24	23.9	1.8	111
201408160550	交大	23.9	0	77	1.3	////	////	////	24	23.9	2.5	105
201408160600	交大	23.9	0	105	1.3	////	////	////	24	23.9	2.5	105
201408160610	交大	24	0	83	0.9	////	////	////	24	23.9	1.9	97
201408160620	交大	24	0	97	0.9	////	////	////	24	23.9	2.3	74
201408160630	交大	24	0	49	1.1	////	////	////	24	23.9	2.3	74
201408160640	交大	24.1	0	74	1.7	////	////	////	24.1	23.9	2.4	40
201408160650	交大	24.1	0	74	1.8	////	////	////	24.1	23.9	2.5	52
201408160700	交大	24.2	0	119	1.1	////	////	////	24.3	23.9	2.5	52
201408160710	交大	24.3	0	77	1.1	////	////	////	24.3	24.2	2.4	97
201408160720	交大	24.4	0	77	1.4	////	////	////	24.4	24.2	3	83
201408160730	交大	24.5	0	74	1.3	////	////	////	24.5	24.2	3.2	60
201408160740	交大	24.7	0	105	0.9	////	////	////	24.7	24.2	3.5	113
201408160800	交大	25.4	0	102	2.2	////	////	////	25.4	24.2	3.5	113
201408160810	交大	26.2	0	142	2.6	////	////	////	26.2	25.5	3.8	128
201408160820	交大	27.3	0	130	2.2	////	////	////	27.3	25.5	4	63
201408160830	交大	27.8	0	99	2.8	////	////	////	27.9	25.5	5.3	122
201408160840	交大	27.2	0	74	2.2	////	////	////	27.9	25.5	5.3	122
201408160850	交大	26.8	0	77	3.9	////	////	////	27.9	25.5	5.3	122
201408160900	交大	26.8	0	122	2.7	////	////	////	27.9	25.5	5.3	122
201408160910	交大	27.2	0	97	3.1	////	////	////	27.2	26.8	4.6	74
201408160920	交大	27.8	0	116	2.4	////	////	////	27.9	26.8	4.6	74
201408160930	交大	27.6	0	119	3.1	////	////	////	28	26.8	4.6	74
201408160940	交大	27.3	0	91	2.4	////	////	////	28	26.8	4.6	74
201408160950	交大	27	0	99	2.3	////	////	////	28	26.8	4.6	74
201408161000	交大	27.1	0	105	2.7	////	////	////	28	26.8	4.6	74
201408161010	交大	27.1	0	97	3.1	////	////	////	27.2	27	4.1	113
201408161020	交大	26.9	0	83	3.5	////	////	////	27.2	26.9	4.2	94
201408161030	交大	26.9	0	122	2.2	////	////	////	27.2	26.9	4.2	94
201408161040	交大	27.1	0	125	3	////	////	////	27.2	26.9	4.2	94
201408161050	交大	27.4	0	88	2	////	////	////	27.4	26.9	4.2	94
201408161100	交大	27.9	0	119	3.1	////	////	////	28	26.9	4.5	136
201408161110	交大	27.5	0	102	4	////	////	////	27.9	27.5	4.9	91
201408161120	交大	27.6	0	102	3.7	////	////	////	27.9	27.4	5	108
201408161130	交大	27.7	0	139	2.7	////	////	////	27.9	27.4	5.4	136
201408161150	交大	27.6	0	139	2.4	////	////	////	27.9	27.4	5.4	136
201408161200	交大	27.6	0	83	2.9	////	////	////	27.9	27.4	5.4	136
201408161210	交大	27.7	0	108	2.8	////	////	////	27.7	27.6	4.9	142
201408161220	交大	27.7	0	111	4.3	////	////	////	27.7	27.6	5.7	136
201408161230	交大	27.7	0	122	3.6	////	////	////	27.7	27.5	5.8	136
201408161240	交大	27.9	0	108	2.8	////	////	////	27.9	27.5	6.4	105
201408161250	交大	28	0	105	2.2	////	////	////	28	27.5	6.4	105
201408161300	交大	28.1	0	68	3.6	////	////	////	28.2	27.5	6.5	88
201408161310	交大	28.2	0	88	4.2	////	////	////	28.3	28.1	6.6	133
201408161320	交大	28.2	0	128	1.3	////	////	////	28.3	28.1	6.6	133
201408161330	交大	27.9	0	136	3.8	////	////	////	28.3	27.9	6.6	133
201408161340	交大	27.3	0	105	3.4	////	////	////	28.3	27.3	6.6	133
201408161350	交大	27	0	108	3.5	////	////	////	28.3	27	6.6	133
201408161400	交大	27	0	116	2.4	////	////	////	28.3	27	6.6	133
201408161410	交大	26.7	0	142	1.3	////	////	////	26.9	26.7	5.4	102
201408161420	交大	26.6	0	108	3.8	////	////	////	26.9	26.6	7.1	97
201408161430	交大	26.6	0	102	2.4	////	////	////	26.9	26.6	7.1	97
201408161440	交大	26.6	0	122	6	////	////	////	26.9	26.6	7.1	97
201408161450	交大	26.6	0	125	1.6	////	////	////	26.9	26.6	7.1	97
201408161500	交大	26.5	0	128	2.4	////	////	////	26.9	26.5	7.1	97
201408161510	交大	26.1	0	113	3.6	////	////	////	26.5	26.1	4.6	85
201408161520	交大	25.9	0	136	4.3	////	////	////	26.5	25.9	4.8	139
201408161530	交大	25.7	0	80	1.9	////	////	////	26.5	25.7	6.1	156
201408161540	交大	25.7	0	113	3.9	////	////	////	26.5	25.7	6.1	156
201408161550	交大	25.6	0	94	2.8	////	////	////	26.5	25.6	6.1	156
201408161600	交大	25.6	0	52	3.7	////	////	////	26.5	25.5	6.1	156
201408161610	交大	25.5	0	128	0.8	////	////	////	25.6	25.5	4	97
201408161620	交大	25.5	0	128	3.9	////	////	////	25.6	25.5	4	97
201408161630	交大	25.3	0	125	2.4	////	////	////	25.6	25.3	4.4	105
201408161640	交大	25	0	133	2.4	////	////	////	25.6	25	4.4	105
201408161650	交大	24.8	0.1	128	1.9	////	////	////	25.6	24.8	4.4	105
201408161700	交大	24.5	0.2	108	1.3	////	////	////	25.6	24.5	4.4	105
201408161710	交大	24.3	0.2	102	1.7	////	////	////	24.5	24.3	3.1	102
201408161720	交大	24.3	0.4	99	1.9	////	////	////	24.5	24.2	3.8	108
201408161730	交大	24.2	0.5	91	2.1	////	////	////	24.5	24.2	3.8	108
201408161740	交大	24.3	0.6	125	1	////	////	////	24.5	24.2	3.8	108
201408161750	交大	24.3	0.6	85	1.3	////	////	////	24.5	24.2	3.8	108
201408161800	交大	24.2	0.6	85	2.9	////	////	////	24.5	24.2	3.8	108
201408161810	交大	24.1	0	85	1.3	////	////	////	24.2	24.1	3.4	97
201408161820	交大	24.1	0	108	0.8	////	////	////	24.2	24.1	3.4	97
201408161830	交大	24.1	0	40	1.5	////	////	////	24.2	24.1	3.4	97
201408161840	交大	24.1	0	102	2	////	////	////	24.2	24.1	3.4	97
201408161850	交大	24	0	85	1.8	////	////	////	24.2	24	3.4	97
201408161900	交大	24	0	97	1.3	////	////	////	24.2	24	3.4	97
201408161910	交大	23.9	0	113	1.4	////	////	////	24	23.9	2.3	57
201408161920	交大	23.9	0	77	1.4	////	////	////	24	23.9	2.8	77
201408161930	交大	23.9	0	77	1	////	////	////	24	23.9	2.8	77
201408161940	交大	24	0	88	1.5	////	////	////	24	23.9	3.2	77
201408161950	交大	24	0	52	1.3	////	////	////	24	23.9	3.2	77
201408162000	交大	24	0	105	0.9	////	////	////	24	23.9	3.2	77
201408162010	交大	24.1	0	74	1	////	////	////	24.1	24	3	52
201408162020	交大	24	0	46	1.3	////	////	////	24.1	24	3	52
201408162030	交大	24	0	83	1	////	////	////	24.1	24	3.4	49
201408162040	交大	24	0	66	1.8	////	////	////	24.1	24	3.4	49
201408162050	交大	24.1	0	99	1.1	////	////	////	24.1	24	3.6	97
201408162100	交大	24.1	0	94	1.6	////	////	////	24.1	24	3.6	97
201408162110	交大	24.1	0	128	2.1	////	////	////	24.1	24.1	2.9	119
201408162120	交大	24.1	0	46	0.8	////	////	////	24.1	24.1	2.9	119
201408162130	交大	24.1	0	88	1.2	////	////	////	24.1	24	2.9	119
201408162140	交大	24.1	0	105	1.2	////	////	////	24.1	24	2.9	119
201408162150	交大	24.1	0	60	0.8	////	////	////	24.1	24	2.9	128
201408162200	交大	24.1	0	91	2.2	////	////	////	24.1	24	3.2	74
201408162210	交大	24.1	0	105	1.8	////	////	////	24.1	24.1	3.3	88
201408162220	交大	24.1	0	97	1	////	////	////	24.1	24.1	3.3	88
201408162230	交大	24.1	0	88	1.7	////	////	////	24.1	24.1	3.3	88
201408162240	交大	24	0	71	1	////	////	////	24.1	24	3.3	88
201408162250	交大	24.1	0	38	1.4	////	////	////	24.1	24	3.3	88
201408162300	交大	24	0	63	0.9	////	////	////	24.1	24	3.3	88
201408162310	交大	24	0	99	0.6	////	////	////	24.1	24	2.2	85
201408162320	交大	24.1	0	97	1.4	////	////	////	24.1	24	2.3	97
201408162330	交大	24.1	0	119	0.6	////	////	////	24.1	24	2.3	97
201408162340	交大	24	0.3	119	1.4	////	////	////	24.1	24	2.6	74
201408162350	交大	23.7	0.9	105	1.4	////	////	////	24.1	23.7	3.5	99
201408170000	交大	23.5	1.1	60	1.3	////	////	////	24.1	23.5	4.2	83
201408170010	交大	23.4	0.1	85	1	////	////	////	23.5	23.4	3.5	111
201408170100	交大	23.2	0.7	153	3	////	////	////	23.5	23.2	5.8	83
201408170120	交大	23.2	0.6	122	1.1	////	////	////	23.2	23.1	3.8	97
201408170130	交大	23.2	0.8	97	1.5	////	////	////	23.2	23.1	3.8	97
201408170140	交大	23.3	0.9	97	2	////	////	////	23.3	23.1	3.8	97
201408170150	交大	23.3	1	133	1.8	////	////	////	23.3	23.1	3.8	97
201408170200	交大	23.2	1.1	119	1.8	////	////	////	23.3	23.1	4.4	144
201408170210	交大	22.9	0.1	116	1.6	////	////	////	23.2	22.9	5.1	147
201408170220	交大	22.7	0.2	128	1.2	////	////	////	23.2	22.7	5.1	147
201408170230	交大	22.8	0.2	83	2.5	////	////	////	23.2	22.7	5.1	147
201408170240	交大	22.9	0.2	105	1.8	////	////	////	23.2	22.7	5.1	147
201408170250	交大	22.9	0.2	105	2	////	////	////	23.2	22.7	5.1	147
201408170300	交大	22.9	0.2	85	1.2	////	////	////	23.2	22.7	5.1	147
201408170310	交大	22.9	0.8	77	1.9	////	////	////	22.9	22.9	3.3	102
201408170320	交大	22.8	1.6	128	0.4	////	////	////	22.9	22.8	3.3	102
201408170330	交大	22.9	1.9	63	0.9	////	////	////	22.9	22.8	3.3	102
201408170340	交大	22.9	2.4	46	0.8	////	////	////	22.9	22.8	3.3	102
201408170350	交大	22.9	3.3	85	1.9	////	////	////	23	22.8	3.3	102
201408170400	交大	22.9	4	150	1.4	////	////	////	23	22.8	4.5	49
201408170410	交大	22.8	0.4	40	2.9	////	////	////	22.9	22.8	4	111
201408170420	交大	22.6	0.5	40	2.2	////	////	////	22.9	22.6	5.4	119
201408170430	交大	22.5	0.6	102	3.1	////	////	////	22.9	22.5	5.4	119
201408170440	交大	22.5	0.7	125	1.7	////	////	////	22.9	22.5	5.4	119
201408170450	交大	22.4	0.8	108	3.2	////	////	////	22.9	22.4	5.4	119
201408170500	交大	22.3	0.8	105	1.3	////	////	////	22.9	22.3	5.4	119
201408170510	交大	22.2	0.1	68	3.2	////	////	////	22.3	22.2	3.7	63
201408170520	交大	22.2	0.1	91	1.3	////	////	////	22.3	22.2	4.5	49
201408170530	交大	22.2	0.1	49	1.1	////	////	////	22.3	22.2	4.5	49
201408170540	交大	22.3	0.1	74	2.2	////	////	////	22.3	22.2	4.5	49
201408170550	交大	22.4	0.1	77	0.8	////	////	////	22.4	22.2	4.5	49
201408170600	交大	22.4	0.1	60	1.6	////	////	////	22.4	22.2	4.5	49
201408170610	交大	22.4	0	66	1.3	////	////	////	22.4	22.4	2.7	46
201408170620	交大	22.2	0	49	1.3	////	////	////	22.4	22.2	3.3	88
201408170630	交大	22.2	0	88	1.3	////	////	////	22.4	22.2	3.3	88
201408170640	交大	22.3	0	40	0.7	////	////	////	22.4	22.2	3.3	88
201408170650	交大	22.4	0	60	0.9	////	////	////	22.4	22.2	3.3	88
201408170700	交大	22.4	0	60	1.9	////	////	////	22.4	22.2	3.3	88
201408170710	交大	22.5	0.9	18	1.7	////	////	////	22.5	22.4	2	23
201408170720	交大	22.6	2.3	29	0.9	////	////	////	22.6	22.4	2	23
201408170730	交大	22.6	3.5	35	0.5	////	////	////	22.6	22.4	3	49
201408170740	交大	22.6	4.5	32	1.3	////	////	////	22.7	22.4	3	49
201408170750	交大	22.7	5.8	23	0.8	////	////	////	22.7	22.4	3	49
201408170800	交大	22.8	6.5	46	1.4	////	////	////	22.8	22.4	3	49
201408170810	交大	22.9	0.5	54	0.8	////	////	////	22.9	22.8	1.8	46
201408170820	交大	22.9	0.5	1	0.8	////	////	////	23	22.8	2.2	26
201408170830	交大	22.9	0.5	15	1.3	////	////	////	23	22.8	2.2	26
201408170840	交大	22.9	0.7	341	1	////	////	////	23	22.8	2.7	322
201408170850	交大	23	0.7	330	2.1	////	////	////	23	22.8	2.8	32
201408170900	交大	23.1	0.7	322	0.9	////	////	////	23.1	22.8	2.8	32
201408170920	交大	23.3	0.2	327	0.6	////	////	////	23.3	23.1	1.9	52
201408170930	交大	23.5	0.3	353	0	////	////	////	23.5	23.1	1.9	52
201408170940	交大	23.5	0.4	358	0.8	////	////	////	23.6	23.1	1.9	23
201408171000	交大	23.4	0.6	46	1.1	////	////	////	23.6	23.1	2.5	1
201408171020	交大	23.6	0.1	322	1.3	////	////	////	23.6	23.4	2.9	18
201408171030	交大	23.7	0.2	23	0.1	////	////	////	23.7	23.4	2.9	18
201408171040	交大	23.6	0.3	316	1.5	////	////	////	23.7	23.4	2.9	18
201408171050	交大	23.7	0.4	246	0.2	////	////	////	23.7	23.4	2.9	18
201408171100	交大	23.7	0.5	288	0.9	////	////	////	23.8	23.4	2.9	18
201408171110	交大	23.8	0	333	2.2	////	////	////	23.8	23.7	2.5	322
201408171120	交大	23.8	0.1	347	2.6	////	////	////	23.9	23.7	3.2	316
201408171130	交大	23.8	0.1	302	1.4	////	////	////	23.9	23.7	3.5	291
201408171140	交大	24.1	0.2	29	0.8	////	////	////	24.1	23.7	3.5	291
201408171150	交大	24.1	0.2	327	2.1	////	////	////	24.3	23.7	3.5	291
201408171200	交大	24.1	0.2	322	2.2	////	////	////	24.3	23.7	3.5	291
201408171210	交大	24.2	0.1	319	1.3	////	////	////	24.2	24.1	2.9	299
201408171220	交大	24.3	0.1	18	0.5	////	////	////	24.4	24.1	3	310
201408171230	交大	24.5	0.1	327	1.6	////	////	////	24.6	24.1	3	310
201408171240	交大	24.6	0.1	316	0.9	////	////	////	24.6	24.1	3	310
201408171250	交大	24.5	0.1	330	2.2	////	////	////	24.8	24.1	3.2	322
201408171300	交大	24.6	0.1	299	1.9	////	////	////	24.8	24.1	3.2	322
201408171310	交大	24.9	0	313	2	////	////	////	24.9	24.7	4.1	327
201408171320	交大	24.8	0	293	2.7	////	////	////	24.9	24.7	4.1	327
201408171330	交大	24.5	0	310	1.4	////	////	////	24.9	24.5	4.8	310
201408171340	交大	24.4	0	277	2.1	////	////	////	24.9	24.4	4.8	310
201408171350	交大	24.5	0	293	1.1	////	////	////	24.9	24.4	4.8	310
201408171400	交大	24.4	0	327	1.1	////	////	////	24.9	24.4	5.4	344
201408171410	交大	24.4	0	308	2.7	////	////	////	24.5	24.4	5.6	322
201408171420	交大	24.4	0	333	1.4	////	////	////	24.5	24.3	5.6	322
201408171430	交大	24.4	0	330	2.1	////	////	////	24.5	24.3	5.6	322
201408171440	交大	24.4	0	15	1.7	////	////	////	24.5	24.3	5.6	322
201408171450	交大	24.3	0	251	0.6	////	////	////	24.5	24.3	5.6	322
201408171500	交大	24.3	0	330	2.7	////	////	////	24.5	24.3	5.6	322
201408171510	交大	24.2	0	316	1.2	////	////	////	24.3	24.2	4.4	9
201408171520	交大	24.1	0	327	1.6	////	////	////	24.3	24.1	4.4	9
201408171530	交大	24	0	18	1.4	////	////	////	24.3	24	4.4	9
201408171540	交大	23.9	0	38	2.3	////	////	////	24.3	23.9	4.4	9
201408171550	交大	23.8	0	26	2	////	////	////	24.3	23.8	4.4	9
201408171600	交大	23.7	0	18	1	////	////	////	24.3	23.7	4.4	9
201408171610	交大	23.6	0	313	0.7	////	////	////	23.7	23.6	4.3	43
201408171620	交大	23.7	0	333	1.5	////	////	////	23.7	23.6	4.3	43
201408171630	交大	23.6	0	330	2.1	////	////	////	23.7	23.6	4.3	43
201408171640	交大	23.6	0	333	0.9	////	////	////	23.7	23.5	4.3	43
201408171650	交大	23.6	0	4	2.2	////	////	////	23.7	23.5	4.3	43
201408171700	交大	23.5	0	319	0.6	////	////	////	23.7	23.5	4.9	333
201408171710	交大	23.5	0	322	2.2	////	////	////	23.5	23.5	2.9	330
201408171720	交大	23.5	0	322	3	////	////	////	23.5	23.5	4.1	333
201408171730	交大	23.2	0	308	1.1	////	////	////	23.5	23.2	4.6	319
201408171740	交大	23.2	0	324	3.8	////	////	////	23.5	23.2	4.6	319
201408171750	交大	23	0	316	5.4	////	////	////	23.5	23	6.4	330
201408171800	交大	22.9	0	305	3.8	////	////	////	23.5	22.9	6.4	330
201408171810	交大	22.9	0	285	1.8	////	////	////	22.9	22.9	4.4	308
201408171820	交大	22.8	0	319	1.3	////	////	////	22.9	22.8	4.7	322
201408171830	交大	22.8	0	350	2.1	////	////	////	22.9	22.8	5.4	308
201408171840	交大	22.7	0	333	2.1	////	////	////	22.9	22.7	5.4	308
201408171850	交大	22.7	0	322	3.8	////	////	////	22.9	22.7	5.5	330
201408171900	交大	22.7	0	282	1.3	////	////	////	22.9	22.7	5.6	313
201408171910	交大	22.7	0	299	2.1	////	////	////	22.7	22.7	5.1	322
201408171920	交大	22.7	0	305	2.1	////	////	////	22.7	22.6	5.1	322
201408171930	交大	22.7	0	308	2.2	////	////	////	22.7	22.6	5.1	322
201408171940	交大	22.7	0	285	2.6	////	////	////	22.7	22.6	5.1	322
201408172000	交大	22.7	0	299	0.6	////	////	////	22.7	22.6	5.1	322
201408172010	交大	22.7	0	291	1.2	////	////	////	22.7	22.7	2.7	324
201408172020	交大	22.7	0	341	1.5	////	////	////	22.7	22.7	3	316
201408172030	交大	22.7	0	308	0.9	////	////	////	22.7	22.7	3	316
201408172040	交大	22.7	0	344	2	////	////	////	22.7	22.7	3	316
201408172050	交大	22.7	0	299	1.3	////	////	////	22.7	22.7	3.2	333
201408172100	交大	22.7	0	308	2.3	////	////	////	22.7	22.7	3.5	296
201408172110	交大	22.7	0	327	1.9	////	////	////	22.7	22.7	3.4	322
201408172120	交大	22.7	0	302	2.3	////	////	////	22.7	22.7	3.4	322
201408172130	交大	22.7	0	302	1.3	////	////	////	22.7	22.7	3.4	322
201408172140	交大	22.7	0	271	0.5	////	////	////	22.7	22.7	3.4	322
201408172150	交大	22.7	0	285	1.7	////	////	////	22.7	22.7	3.4	322
201408172200	交大	22.7	0	341	2.1	////	////	////	22.7	22.7	3.4	322
201408172210	交大	22.7	0	310	2	////	////	////	22.7	22.7	2.8	319
201408172220	交大	22.7	0	274	1.6	////	////	////	22.7	22.7	2.8	319
201408172230	交大	22.7	0	327	0.9	////	////	////	22.7	22.7	2.8	319
201408172240	交大	22.7	0	288	1.5	////	////	////	22.7	22.7	3.1	299
201408172250	交大	22.7	0	296	1.4	////	////	////	22.7	22.7	3.3	288
201408172300	交大	22.7	0	288	1.9	////	////	////	22.7	22.7	3.3	288
201408172310	交大	22.6	0	319	1.8	////	////	////	22.7	22.6	2.9	302
201408172320	交大	22.7	0	302	1.5	////	////	////	22.7	22.6	3.6	305
201408172330	交大	22.7	0	274	1.3	////	////	////	22.7	22.6	3.6	305
201408172340	交大	22.7	0	282	1.4	////	////	////	22.7	22.6	3.8	302
201408172350	交大	22.7	0	265	2	////	////	////	22.7	22.6	3.8	302
201408180000	交大	22.7	0	313	2.3	////	////	////	22.7	22.6	3.8	302
201408180010	交大	22.7	0	271	1.3	////	////	////	22.7	22.7	3.4	302
201408180020	交大	22.7	0	302	1.9	////	////	////	22.7	22.7	3.4	302
201408180030	交大	22.7	0	288	1.5	////	////	////	22.7	22.7	3.4	302
201408180040	交大	22.7	0	296	2.2	////	////	////	22.7	22.7	3.4	302
201408180050	交大	22.7	0	257	1.7	////	////	////	22.7	22.7	3.4	302
201408180100	交大	22.7	0	268	1	////	////	////	22.7	22.7	3.4	302
201408180110	交大	22.7	0	198	0.8	////	////	////	22.7	22.7	1.9	296
201408180120	交大	22.7	0	296	1.1	////	////	////	22.7	22.7	1.9	296
201408180130	交大	22.7	0	291	1	////	////	////	22.7	22.7	1.9	296
201408180140	交大	22.8	0	322	1.3	////	////	////	22.8	22.7	1.9	296
201408180150	交大	22.8	0	288	1.3	////	////	////	22.8	22.7	2	274
201408180200	交大	22.7	0	316	1.4	////	////	////	22.8	22.7	2.3	299
201408180210	交大	22.6	0	302	0.8	////	////	////	22.7	22.6	2.3	277
201408180220	交大	22.6	0	288	0.8	////	////	////	22.7	22.6	2.3	277
201408180230	交大	22.6	0	308	1.3	////	////	////	22.7	22.6	2.3	277
201408180240	交大	22.6	0	282	2.3	////	////	////	22.7	22.6	2.6	279
201408180250	交大	22.6	0	288	2.6	////	////	////	22.7	22.6	2.6	288
201408180300	交大	22.5	0	285	1.5	////	////	////	22.7	22.5	2.6	288
